datetime,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-03-14 13:00:00,0.0,1959.3,28.4,70.0,3.8
2021-03-14 14:00:00,0.0,1438.8,28.2,77.0,4.8
2021-03-14 15:00:00,0.0,1765.9,29.0,73.0,4.8
2021-03-15 12:00:00,0.0,1394.3,27.6,73.0,2.4
2021-03-15 19:00:00,0.0,1179.0,28.4,76.0,6.5
2021-03-15 20:00:00,0.0,918.4,28.2,79.0,5.6
2021-03-16 12:00:00,0.0,1363.0,26.7,87.0,1.2
2021-03-16 13:00:00,0.0,1953.6,28.5,76.0,3.1
2021-03-16 18:00:00,0.0,2196.3,28.9,72.0,5.6
2021-03-16 20:00:00,0.0,799.6,28.1,76.0,5.4
2021-03-17 12:00:00,0.0,1310.9,27.6,79.0,2.3
2021-03-17 15:00:00,0.0,3070.2,29.1,74.0,5.7
2021-03-18 13:00:00,0.0,724.7,29.0,62.0,5.7
2021-03-18 17:00:00,0.0,1979.4,28.4,81.0,7.4
2021-03-19 12:00:00,0.0,995.4,25.7,100.0,2.2
2021-03-19 13:00:00,0.0,1391.2,27.9,74.0,2.6
2021-03-19 14:00:00,0.0,2345.8,28.1,73.0,3.7
2021-03-19 15:00:00,0.0,1510.9,28.8,72.0,3.2
2021-03-19 18:00:00,0.0,1670.5,27.8,78.0,6.3
2021-03-19 19:00:00,0.0,1005.9,28.9,78.0,4.2
2021-03-20 12:00:00,0.0,1346.7,26.8,100.0,3.6
2021-03-20 13:00:00,0.0,2086.6,28.1,87.0,3.7
2021-03-20 14:00:00,0.0,2604.9,28.6,77.0,4.0
2021-03-20 17:00:00,0.0,1892.6,28.5,80.0,5.5
2021-03-20 18:00:00,0.0,1903.0,28.8,77.0,4.8
2021-03-21 12:00:00,0.0,1283.9,27.8,83.0,2.9
2021-03-22 12:00:00,0.0,1314.0,28.1,83.0,5.0
2021-03-22 19:00:00,0.0,1476.9,29.0,77.0,8.5
2021-03-22 20:00:00,0.0,1068.6,28.2,81.0,6.6
2021-03-23 12:00:00,0.0,1334.2,27.3,75.0,1.6
2021-03-23 13:00:00,0.0,2108.0,29.1,67.0,2.7
2021-03-24 12:00:00,0.0,1147.8,28.3,77.0,3.4
2021-03-24 15:00:00,0.0,2377.4,29.2,75.0,7.3
2021-03-25 12:00:00,0.0,796.7,26.2,84.0,1.7
2021-03-25 13:00:00,0.0,2065.1,28.2,69.0,1.7
2021-03-25 19:00:00,0.0,1443.3,28.4,76.0,6.3
2021-03-25 20:00:00,0.0,418.3,28.0,78.0,6.1
2021-03-26 13:00:00,0.0,2060.4,29.6,70.0,3.5
2021-03-26 16:00:00,0.0,1879.2,28.7,74.0,5.1
2021-03-26 17:00:00,0.0,1440.4,28.8,74.0,4.7
2021-03-27 12:00:00,0.0,1304.9,27.9,78.0,2.5
2021-03-28 13:00:00,0.0,1273.2,28.5,77.0,2.6
2021-03-28 17:00:00,0.0,1244.0,29.0,72.0,3.6
2021-03-28 18:00:00,0.0,915.1,29.0,73.0,4.4
2021-03-28 19:00:00,0.0,604.7,28.8,74.0,4.2
2021-03-29 12:00:00,0.0,1236.5,28.1,79.0,1.4
2021-03-30 12:00:00,0.0,1294.5,26.2,77.0,4.4
2021-03-30 13:00:00,0.0,2041.2,28.5,66.0,5.0
2021-03-31 12:00:00,0.0,505.8,23.1,100.0,5.0
2021-03-31 13:00:00,0.0,674.5,24.0,89.0,3.3
2021-03-31 14:00:00,0.0,1855.6,25.5,76.0,6.3
2021-03-31 15:00:00,0.0,2517.3,25.4,73.0,8.4
2021-03-31 16:00:00,0.0,1673.0,25.1,73.0,7.6
2021-03-31 17:00:00,0.0,2322.0,26.9,64.0,7.9
2021-03-31 18:00:00,0.0,2280.8,27.2,66.0,6.4
2021-03-31 19:00:00,0.0,803.9,25.7,71.0,8.4
2021-04-01 12:00:00,0.0,890.8,24.9,65.0,9.0
2021-04-01 13:00:00,0.0,1979.9,25.7,63.0,9.0
2021-04-01 14:00:00,0.0,2813.7,26.4,60.0,8.9
2021-04-01 15:00:00,0.0,3405.7,27.5,52.0,7.1
2021-04-01 16:00:00,0.0,3010.1,27.8,56.0,8.1
2021-04-01 17:00:00,0.0,3277.9,27.8,56.0,9.3
2021-04-01 18:00:00,0.0,2753.2,26.8,59.0,9.3
2021-04-02 12:00:00,0.0,901.4,23.6,85.0,4.3
